Shops,ATMs,Downtown,Weekday,Center,High,Withdraw
1018,10,1,0,0,0,72.75055592
974,10,1,1,0,0,66.72048165
96,2,0,0,0,1,19.18951596
958,9,1,1,0,1,67.3886692
103,4,0,1,0,1,15.81312706
992,10,1,1,1,0,71.03715592
1015,13,1,0,0,0,69.31719721
989,13,1,0,0,1,68.35513108
984,10,1,1,0,1,68.04078397
100,2,0,1,0,0,15.90649241
985,12,1,1,0,1,66.24043113
99,3,0,0,0,1,19.92240589
1009,11,1,1,0,0,69.01739867
1001,13,1,0,0,0,68.70475691
95,3,0,0,1,1,22.5948081
1000,15,1,1,0,0,64.89892469
97,3,0,1,0,0,15.56150783
98,3,0,1,0,0,15.74044751
103,2,0,0,0,0,18.34000322
998,11,1,1,1,0,70.47220991
993,11,1,0,0,0,69.46366297
95,3,0,0,0,0,17.52395586
975,8,1,1,0,0,68.5691094
98,4,0,1,0,1,16.57331948
1014,8,1,1,0,0,72.3909091
1005,8,1,1,0,0,71.30089511
103,2,0,1,1,1,20.40766569
1028,11,1,1,1,0,73.82912237
111,4,0,1,0,0,14.24074474
964,9,1,0,1,0,90.14280361
100,3,0,1,0,0,15.83710131
111,2,0,0,0,0,18.45125778
995,10,1,1,0,1,69.51083338
989,10,1,1,0,0,68.18352998
992,11,1,0,0,0,69.29934752
988,13,1,1,0,1,65.74891561
993,8,1,1,0,1,70.85629614
975,10,1,1,0,0,66.50401157
104,3,0,1,0,0,15.28664773
981,11,1,1,0,0,66.24091377
995,11,1,0,0,0,69.68029069
1007,9,1,0,0,1,72.8986588
981,10,1,1,1,1,70.94183059
995,12,1,0,0,0,68.4766927
1009,13,1,1,0,0,67.14083323
101,4,0,1,0,0,14.51727377
98,4,0,1,0,0,13.71365189
969,9,1,0,0,0,68.93108429
987,8,1,1,0,0,69.73966721
997,17,1,1,0,1,62.41793029
980,9,1,1,0,1,69.62628489
1007,8,1,1,0,0,72.79958885
989,12,1,1,0,0,65.86215872
996,8,1,1,0,0,69.9567389
989,12,1,0,0,1,68.93297406
1007,8,1,1,0,1,72.36291405
1007,7,1,1,0,0,72.96057624
988,10,1,0,0,1,70.65808776
1000,8,1,1,1,0,74.35108086
994,11,1,0,0,0,68.9846477
1002,8,1,0,1,1,97.01599949
1015,11,1,1,0,0,69.40791573
979,11,1,1,0,0,65.66285683
1007,11,1,0,0,0,71.63386826
1002,11,1,0,0,0,70.46636608
1017,10,1,0,0,0,73.10268895
987,11,1,0,0,1,70.17590503
100,3,0,0,0,0,18.13770188
94,4,0,1,1,0,17.39649006
1002,11,1,1,0,0,67.0819353
1007,3,1,1,1,1,81.20691598
985,13,1,0,1,0,88.85553192
1007,9,1,1,0,1,72.10229839
102,3,0,1,0,1,16.97394058
1010,10,1,1,0,0,69.96113485
988,8,1,1,0,0,69.61619055
102,2,0,1,1,1,20.40007083
978,11,1,1,0,1,66.4668091
97,2,0,1,0,0,17.43592853
965,11,1,0,0,1,67.07233304
980,11,1,0,0,0,67.75695639
101,2,0,1,0,1,17.76013887
957,11,1,1,1,0,67.00576804
102,3,0,1,0,0,15.70596984
1039,12,1,1,0,1,72.27359826
98,3,0,1,0,1,16.59533205
972,12,1,0,0,1,66.56152924
1014,9,1,0,0,0,73.70964276
982,9,1,1,0,0,68.20467273
1021,8,1,1,0,1,73.27751678
95,3,0,1,0,0,14.95339429
998,9,1,1,1,1,74.17400596
977,7,1,0,0,0,71.22696672
1034,13,1,0,0,0,71.60562623
110,3,0,1,0,0,16.1896018
1032,14,1,1,1,0,71.05765049
980,9,1,1,0,0,68.64137759
1011,6,1,1,0,0,73.95021726
1021,6,1,0,0,0,76.75640588
1011,10,1,1,0,1,71.710922
981,9,1,1,0,0,68.15078314
104,3,0,1,0,0,16.42670028
1004,8,1,0,0,0,73.38851586
105,4,0,1,0,1,14.32243945
97,4,0,1,0,0,15.45962174
993,11,1,1,0,0,67.48731826
102,5,0,1,0,0,13.33967705
994,10,1,0,0,0,70.31392743
96,3,0,1,1,0,18.93410001
101,3,0,1,1,0,19.01946175
987,12,1,1,0,1,66.72843841
966,7,1,1,0,0,68.89265558
999,9,1,0,0,1,73.16881892
1004,9,1,0,0,0,72.21694622
96,4,0,0,1,1,22.38328076
1000,8,1,1,0,0,71.58963855
1001,9,1,0,0,0,72.4078443
102,3,0,0,0,0,17.2529753
993,8,1,1,0,0,69.84252498
107,3,0,1,0,1,17.70888336
998,11,1,1,0,0,67.20771446
1022,7,1,1,0,1,75.46519794
967,4,1,0,0,0,72.83941146
981,9,1,1,0,0,67.65044265
1029,8,1,1,0,0,73.87552692
964,11,1,0,0,0,66.68978825
108,3,0,1,0,0,16.45572737
1002,12,1,1,0,0,67.63861686
1025,11,1,1,0,1,72.89357219
94,2,0,1,1,0,19.24850428
101,3,0,1,0,0,15.92795808
972,9,1,1,0,0,66.84164546
1023,10,1,1,0,0,71.22028439
987,5,1,1,0,1,73.708869
1014,10,1,1,0,0,69.77251635
108,4,0,1,0,1,15.35704148
101,3,0,0,0,0,17.6926106
110,5,0,1,0,0,14.61376628
1005,8,1,1,0,0,71.41852944
1014,9,1,0,1,0,96.83421459
983,11,1,0,0,0,67.96371147
968,11,1,1,0,0,63.85383975
979,9,1,0,0,1,70.96304332
1004,14,1,1,0,1,66.82750775
1004,8,1,1,0,1,72.26408906
982,6,1,0,0,1,73.75966515
99,0,0,1,0,0,18.24374004
1006,10,1,0,1,0,95.18512806
974,9,1,1,0,0,67.13512377
997,8,1,1,0,0,71.10550692
99,4,0,1,1,0,17.47803458
974,9,1,1,0,0,67.95380971
1027,12,1,1,0,1,70.7473862
1009,10,1,1,0,1,70.67485909
992,10,1,1,0,0,67.78643998
1019,10,1,1,0,0,70.75683253
978,11,1,0,0,0,67.06527654
98,2,0,1,0,0,17.14120373
103,2,0,0,0,0,18.84292574
1026,13,1,1,0,0,68.24456555
979,10,1,1,0,0,67.02912514
988,10,1,0,0,0,69.08811114
113,2,0,0,0,0,18.09573531
109,5,0,1,0,0,12.93478643
1044,10,1,1,0,0,74.38677772
1017,7,1,1,0,1,74.15382402
1000,11,1,1,0,0,68.09234047
93,4,0,1,0,0,13.94365479
971,10,1,0,0,0,67.78192982
1026,12,1,1,0,1,71.7222285
1009,11,1,0,0,0,70.06282003
104,3,0,1,1,0,18.92985374
1005,8,1,1,0,0,71.63758217
1026,13,1,1,0,1,69.48643415
1003,15,1,1,0,0,64.86307223
100,3,0,1,0,0,15.17309867
1018,9,1,1,0,0,71.59477707
1011,9,1,0,0,1,74.25604978
101,3,0,1,0,0,15.88887132
991,13,1,1,1,0,67.3668655
1028,11,1,1,1,1,74.89501854
1007,11,1,0,0,1,71.65049559
986,9,1,1,1,0,71.68769903
1033,11,1,1,0,0,71.6482004
94,4,0,1,0,0,14.40397534
1002,9,1,0,0,0,71.65186072
1036,11,1,0,0,0,73.94772809
1016,11,1,0,0,1,72.90301595
1003,8,1,1,0,0,71.30744643
986,10,1,1,0,0,67.75508368
97,3,0,1,0,0,15.99023669
975,11,1,1,0,0,65.02124879
991,10,1,1,0,1,69.07497221
99,1,0,1,0,0,18.47859945
1028,12,1,0,0,0,71.74691629
94,2,0,1,0,0,16.6229441
998,11,1,1,0,1,68.77181755
1044,10,1,0,0,1,76.48052411
104,2,0,1,0,1,18.58512673
1035,9,1,1,0,1,75.18815673
103,2,0,1,0,0,16.1233303
114,6,0,1,0,0,12.17827719
1001,10,1,0,0,0,71.48890286
95,4,0,1,1,1,18.38913734
102,3,0,1,0,0,15.44473449
100,4,0,1,0,0,14.93404692
999,6,1,0,0,1,75.46613442
972,10,1,1,0,1,67.96935214
95,4,0,1,0,0,14.22666541
99,4,0,1,0,0,15.71145364
107,3,0,1,0,0,16.40152105
1010,12,1,0,0,1,70.85152767
100,2,0,1,0,0,16.48183131
1032,7,1,1,0,0,74.67817134
1018,9,1,1,0,0,72.45838123
97,3,0,0,0,1,17.71228352
1010,9,1,1,0,0,70.95373571
94,2,0,0,0,1,19.56527129
1003,9,1,0,1,0,94.89759281
992,9,1,1,1,1,73.45826549
995,9,1,1,0,0,69.7973111
1006,9,1,1,0,1,71.35875218
1027,12,1,1,0,1,71.01071117
986,10,1,0,0,0,69.13441895
102,3,0,0,1,0,22.78711848
1009,7,1,1,0,1,74.24504172
1022,10,1,1,0,0,71.73870357
993,11,1,1,0,0,67.02302369
1016,11,1,0,0,0,71.68720467
1012,9,1,0,0,0,72.43868179
985,9,1,1,0,0,68.29263318
1002,11,1,0,0,0,69.57647319
983,9,1,1,0,0,68.13790747
107,4,0,1,0,0,14.32598208
104,5,0,1,0,0,13.3274043
1026,11,1,1,0,0,70.60684443
1008,9,1,1,0,0,69.96212367
989,8,1,1,1,0,72.66553056
100,4,0,1,0,0,14.20005705
966,8,1,1,0,0,67.39332875
1000,10,1,1,0,0,69.58730963
967,9,1,0,0,1,69.20420668
1037,14,1,0,0,1,71.90447105
110,1,0,0,0,0,19.50399733
1013,8,1,1,0,0,72.22514473
1021,13,1,0,0,0,71.0950949
1014,11,1,0,0,0,71.35731607
998,10,1,0,0,0,70.72537074
91,3,0,1,0,0,15.80152716
1015,8,1,1,0,0,73.00467609
